uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
2.0,2.0,U,CA,N,0.0,641.0916011998934,675.8525943288919,328.78715904642536,14373.756337189188,0.0,32.04427998700493,1318.0808378599509,490.52069063663134,1198.0,64.0,32.0,516.9512649206681,144.66293939929642,89.2837888779908,U,DALLAS AREA,Y,N,92.05206550542744,4.090459055029483,1.0,WCMB,0.35152731851972874,0.698833955639621,O,12.54648353350942,,S,1.0,M,,,,A,0.0,F,U,U,U,U,U,Y,167.492229092186,1
1.0,2.0,Y,AA,N,0.0,3719.611337619488,1071.3115434948438,1175.372202559716,0.0,4146.0,40.5198647494674,489.9853932041181,161.89900711573785,1317.0,153.0,71.0,0.0,61.9751063148109,86.66093221653763,U,NEW YORK CITY AREA,Y,N,93.69431296664762,1.0,1.5250257857786778,WCMB,0.060970821433200345,,R,9.448176445407732,S,S,4.073507011280076,M,7.087294913148097,2.334765605455713,,,0.0,O,U,U,U,U,U,Y,296.0478145820966,2
2.0,3.0,U,A,N,333.0,0.0,3.65,879.1672783120198,0.0,2292.0,91.21568672837773,30.368936090963814,113.98222614771134,0.0,198.0,56.0,492.9039649560694,419.40645424270997,70.49023411787985,U,OHIO AREA,Y,N,118.91027529092608,1.0,2.620819002566006,WCMB,0.4295524796933051,0.46336082756522745,O,5.571706040910762,S,S,1.0,,3.155344265744201,,G,,0.010645393432710377,U,U,U,U,U,U,Y,179.6299322832132,3
3.0,0.0,N,A,N,39.0,11255.287277919682,967.233450583774,789.1760585174646,1230.308032603676,2901.0,55.38189430531844,1308.1132676647783,0.0,493.0,1.0,55.0,74.97020735717837,292.3653508007301,146.41390346633298,U,NORTH FLORIDA AREA,Y,N,43.99480566101649,1.8593875827364128,3.1985710954089157,WCMB,0.24740491450308896,0.0,O,3.0169398578829028,,M,,M,7.862305546508268,2.5388437839785385,,A,0.29559753102898856,N,Y,U,U,U,U,N,524.9544366177565,4
1.0,1.0,Y,AA,N,6596.0,22916.9015346589,1585.9839170884209,389.42010159274923,5120.893636623504,0.0,68.03565653982105,428.4152312233711,356.2574256582505,898.0,0.0,1.0,0.0,309.7811571468467,35.603540756893146,U,ATLANTIC SOUTH AREA,N,N,48.31724906992074,1.0,2.6266012449905363,WCMB,0.17306130121698002,0.2026756528583007,,1.9779479783253455,,U,1.0,M,5.7760698547939775,,I,A,0.19769389080051758,S,U,U,U,U,U,N,548.948085182085,5
1.0,1.0,Y,AA,N,6557.0,9945.206087884824,1149.6726061981756,1728.7521788624476,10416.567988927243,3407.0,114.07316930451276,775.2221987016062,343.2393351112618,0.0,0.0,21.0,889.1754696544963,139.02997270234374,45.858544285222784,S,CALIFORNIA NORTH AREA,Y,R,159.2908072010439,1.8886184742378846,1.427204805183871,WCMB,0.2629564458238912,0.49942791865473385,,9.789981108592729,S,,3.5659591316598256,,9.0,,C,,0.49834476962569124,S,U,U,U,U,U,Y,-5.0,6
2.0,0.0,Y,AA,Y,11262.0,0.0,1843.600021423012,1250.3641493940647,13019.198786441826,0.0,160.7302655280075,337.0861674723289,310.91895200588556,0.0,749.0,46.0,450.6932298488812,242.71176157770657,67.10732889855149,S,NEW YORK CITY AREA,Y,N,148.32548860168225,1.0,3.00058732782568,WCMB,0.48162745919595945,0.24174050297554395,,1.9297566280124716,,M,3.4088987754071005,M,5.116116921279586,2.2742176801957092,,A,0.07500591116586802,Z,U,,U,U,U,N,476.52603422995634,7
1.0,2.0,U,A,N,0.0,10123.498539111959,710.1246151492277,1165.5734319393155,28742.290975844,2505.0,81.07106789872277,546.11237137621,163.31164444912596,506.0,0.0,115.0,388.394103939812,173.45372621687338,38.41746531477061,,SOUTH FLORIDA AREA,Y,N,25.920947594068025,1.0,2.87575890001297,WCMB,0.0,0.04366908402532922,O,12.679506062684881,S,U,2.395789261047664,,,,,H,0.18848447020392506,S,U,Y,U,U,U,Y,152.52745084992472,8
2.0,1.0,U,D,N,8933.0,5961.515394678251,640.1924898681202,2683.120950295735,1198.5005031271166,5955.0,77.48998785606838,237.24644011175056,299.63405180588273,299.0,0.0,1.0,149.89802471105338,269.5829611520559,49.1150754305508,U,DALLAS AREA,Y,N,9.989997864,1.7840636781298476,1.6113984405621924,,0.3923034805349098,0.03316732856744144,O,9.16149315155888,M,U,3.551884565247663,M,1.0,1.8682970664594563,,A,0.0,F,U,U,U,U,U,N,563.8595765669511,9
1.0,2.0,U,A,N,8909.0,0.0,78.95521724551224,1358.1837630201057,4847.613875156127,1464.0,15.079803386817098,1473.6698086348347,35.29690862501252,428.0,291.0,10.0,953.9341665833401,0.842492274837582,100.7686468831809,S,LOS ANGELES AREA,Y,N,33.50865796766806,1.0,1.0,WCMB,0.3304909301776616,0.0,O,,,U,,M,,,C,A,0.4245751344013865,H,U,U,U,U,Y,Y,523.1485942600943,10
